id,po_header_id,line_num,item_number,description,quantity,uom,unit_price,line_total,need_by_date,x_confirmed_date,status
90000-1,90000,1,SKU-TX-330,Cotton Fabric Roll,775,MTR,600.95,68528.77,07/07/2026,,received
90000-2,90000,2,SKU-MT-101,Aluminium Ingot,637,TON,2248.04,117031.65,2026-08-09 00:00:00,,issued
90000-3,90000,3,SKU-PL-220,HDPE Pellets,48,KG,779.08,9900.65,2026-08-09 00:00:00,,received
90001-1,90001,1,SKU-CE-500,Ceramic Tile,396,M2,3886.9,6982.04,2026-06-21 00:00:00,,received
90001-2,90001,2,SKU-AGG-220,Crushed Aggregate 20mm,630,TON,2146.4,22631.4,2026-06-26 00:00:00,,received
90001-3,90001,3,SKU-TC-090,Timber Panel,740,M3,2933.97,72968.97,Jul 18 2026,,received
90002-1,90002,1,SKU-CE-500,Ceramic Tile,135,M2,1847.97,99564.59,2026-07-09 00:00:00,,issued
90002-2,90002,2,SKU-FS-055,Hex Bolt M12,778,EA,3720.83,71767.79,2026-08-02 00:00:00,,received
90002-3,90002,3,SKU-AGG-220,Crushed Aggregate 20mm,48,TON,2693.2,61445.83,Jul 04 2026,,backordered
90003-1,90003,1,SKU-PK-770,Corrugated Carton,92,EA,1012.76,84836.46,2026-07-28 00:00:00,,issued
90003-2,90003,2,SKU-CEM-101,Portland Cement Type I,472,TON,326.63,137249.86,2026-08-02 00:00:00,,received
90003-3,90003,3,SKU-FS-055,Hex Bolt M12,640,EA,227.49,46027.74,2026-07-02 00:00:00,,received
90004-1,90004,1,SKU-WR-410,Copper Wire 2.5mm,348,MTR,3161.04,16322.98,30/06/2026,,received
90005-1,90005,1,SKU-EL-440,Circuit Board Assy,604,EA,1464.18,29197.41,2026-07-07 00:00:00,,backordered
90005-2,90005,2,SKU-CP-330,Cast Part 330,465,EA,1254.91,121841.15,2026-07-09 00:00:00,,received
90005-3,90005,3,SKU-PK-770,Corrugated Carton,708,EA,796.29,53518.67,2026-08-08 00:00:00,,received
90006-1,90006,1,SKU-CEM-101,Portland Cement Type I,534,TON,675.02,72631.89,2026-06-30 00:00:00,,issued
90007-1,90007,1,SKU-TC-090,Timber Panel,302,M3,2719.07,11721.31,2026-07-10 00:00:00,,issued
